ObservationIndex,Model,Level,Split,Actual,Predicted,Residual,PeriodKey,Ward,Mesh250m,WardLat,WardLon,MeshLat,MeshLon,Feature,FeatureValue,SHAPValue
0,RandomForest,MeshTokyo,val,1080000.0,1088096.6625298292,-8096.662529829191,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,mesh_median_ppsqm_lag1,914285.7142857144,7280.619054882489
0,RandomForest,MeshTokyo,val,1080000.0,1088096.6625298292,-8096.662529829191,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,mesh_median_ppsqm_lag4,1141958.041958042,3841.2403757677553
0,RandomForest,MeshTokyo,val,1080000.0,1088096.6625298292,-8096.662529829191,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,mesh_median_ppsqm_growth_qoq,18.124999999999993,71902.32845075519
0,RandomForest,MeshTokyo,val,1080000.0,1088096.6625298292,-8096.662529829191,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,mesh_median_ppsqm_growth_yoy,-5.425597060624621,-22763.451374230135
0,RandomForest,MeshTokyo,val,1080000.0,1088096.6625298292,-8096.662529829191,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,mesh_median_ppsqm_ma4q,1047802.1978021979,328566.81525511906
0,RandomForest,MeshTokyo,val,1080000.0,1088096.6625298292,-8096.662529829191,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,mesh_median_ppsqm_std4q,94788.65493069764,-5140.384044511488
0,RandomForest,MeshTokyo,val,1080000.0,1088096.6625298292,-8096.662529829191,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,mesh_transaction_count,28.0,-314.1232974383066
0,RandomForest,MeshTokyo,val,1080000.0,1088096.6625298292,-8096.662529829191,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,mesh_avg_age,21.96,-1108.849227897253
0,RandomForest,MeshTokyo,val,1080000.0,1088096.6625298292,-8096.662529829191,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,mesh_avg_area,60.0,-872.6496362590406
0,RandomForest,MeshTokyo,val,1080000.0,1088096.6625298292,-8096.662529829191,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,TimeTrend,61.0,698.9992877889434
0,RandomForest,MeshTokyo,val,1080000.0,1088096.6625298292,-8096.662529829191,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,Ward_encoded,12.0,-44.82273985412569
0,RandomForest,MeshTokyo,val,1080000.0,1088096.6625298292,-8096.662529829191,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,WardHedonicIndex,184.89601631092367,-80.42802761256306
0,RandomForest,MeshTokyo,val,1080000.0,1088096.6625298292,-8096.662529829191,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,WardHedonicIndex_missing,1.0,0.0
0,RandomForest,MeshTokyo,val,1080000.0,1088096.6625298292,-8096.662529829191,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,MeshHedonicIndex,207.647646969142,-359.9016815524139
0,RandomForest,MeshTokyo,val,1080000.0,1088096.6625298292,-8096.662529829191,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,MeshHedonicIndex_missing,1.0,0.0
1,RandomForest,MeshTokyo,val,840000.0,839858.2740741529,141.72592584707309,2020-Q3,Ota Ward,53393525,35.57257078830743,139.7084891796112,35.60227067317686,139.69781398773193,mesh_median_ppsqm_lag1,691666.6666666667,-23841.52479273725
1,RandomForest,MeshTokyo,val,840000.0,839858.2740741529,141.72592584707309,2020-Q3,Ota Ward,53393525,35.57257078830743,139.7084891796112,35.60227067317686,139.69781398773193,mesh_median_ppsqm_lag4,750000.0,-3973.7967216786087
1,RandomForest,MeshTokyo,val,840000.0,839858.2740741529,141.72592584707309,2020-Q3,Ota Ward,53393525,35.57257078830743,139.7084891796112,35.60227067317686,139.69781398773193,mesh_median_ppsqm_growth_qoq,21.445783132530117,88109.94095854467
1,RandomForest,MeshTokyo,val,840000.0,839858.2740741529,141.72592584707309,2020-Q3,Ota Ward,53393525,35.57257078830743,139.7084891796112,35.60227067317686,139.69781398773193,mesh_median_ppsqm_growth_yoy,12.00000000000001,-4987.029863262907
1,RandomForest,MeshTokyo,val,840000.0,839858.2740741529,141.72592584707309,2020-Q3,Ota Ward,53393525,35.57257078830743,139.7084891796112,35.60227067317686,139.69781398773193,mesh_median_ppsqm_ma4q,787083.3333333334,81838.50838937289
1,RandomForest,MeshTokyo,val,840000.0,839858.2740741529,141.72592584707309,2020-Q3,Ota Ward,53393525,35.57257078830743,139.7084891796112,35.60227067317686,139.69781398773193,mesh_median_ppsqm_std4q,73665.59828285075,-3215.337550541018
1,RandomForest,MeshTokyo,val,840000.0,839858.2740741529,141.72592584707309,2020-Q3,Ota Ward,53393525,35.57257078830743,139.7084891796112,35.60227067317686,139.69781398773193,mesh_transaction_count,45.0,-96.65538579340547
