Feature,MeanAbsSHAP,MedianAbsSHAP,StdAbsSHAP,ContributionShare
MedianPriceSqM,0.14708454962060385,0.11069047820637934,0.12646400654295367,0.4598222205843042
MedianPriceSqM_ma4q,0.10138259298348089,0.07781305187381804,0.08947796784076836,0.31694674358732616
MedianPriceSqM_lag1,0.04443975038695545,0.0319681677956396,0.03859823062832717,0.13892951202455572
MedianPriceSqM_growth_qoq,0.010580933625261935,0.009414900647243485,0.006040216294866604,0.03307858240700986
ActiveMeshes,0.008039828370647229,0.006940407365618739,0.0034322547707683507,0.02513446683586833
AvgBuildingAge,0.0049883379848068895,0.003883096003846731,0.003912227398027827,0.015594762706997643
TransactionCount,0.003356651359570151,0.0026564399813651107,0.0025395117785442815,0.010493711853938055
