ObservationIndex,Model,Level,Split,Actual,Predicted,Residual,PeriodKey,Ward,WardLat,WardLon,Feature,FeatureValue,SHAPValue
0,LinearRegression,WardTokyo,val,1076923.076923077,1069596.2748041588,7326.80211891816,2020-Q4,Bunkyo Ward,35.71916561962691,139.75206971168518,MedianPriceSqM_lag1,1058823.5294117648,242872.8238536354
0,LinearRegression,WardTokyo,val,1076923.076923077,1069596.2748041588,7326.80211891816,2020-Q4,Bunkyo Ward,35.71916561962691,139.75206971168518,MedianPriceSqM_lag4,1050000.0,54801.13043384103
0,LinearRegression,WardTokyo,val,1076923.076923077,1069596.2748041588,7326.80211891816,2020-Q4,Bunkyo Ward,35.71916561962691,139.75206971168518,MedianPriceSqM_growth_qoq,1.7094017094017033,3992.862372329535
0,LinearRegression,WardTokyo,val,1076923.076923077,1069596.2748041588,7326.80211891816,2020-Q4,Bunkyo Ward,35.71916561962691,139.75206971168518,MedianPriceSqM_growth_yoy,2.564102564102577,317.4990703321164
0,LinearRegression,WardTokyo,val,1076923.076923077,1069596.2748041588,7326.80211891816,2020-Q4,Bunkyo Ward,35.71916561962691,139.75206971168518,MedianPriceSqM_ma4q,1044371.434192406,90132.06534686693
0,LinearRegression,WardTokyo,val,1076923.076923077,1069596.2748041588,7326.80211891816,2020-Q4,Bunkyo Ward,35.71916561962691,139.75206971168518,MedianPriceSqM_std4q,32884.77710662934,-274.98609846913314
0,LinearRegression,WardTokyo,val,1076923.076923077,1069596.2748041588,7326.80211891816,2020-Q4,Bunkyo Ward,35.71916561962691,139.75206971168518,TransactionCount,215.0,79.70932122334125
0,LinearRegression,WardTokyo,val,1076923.076923077,1069596.2748041588,7326.80211891816,2020-Q4,Bunkyo Ward,35.71916561962691,139.75206971168518,AvgBuildingAge,21.402116402116402,707.7002166807433
0,LinearRegression,WardTokyo,val,1076923.076923077,1069596.2748041588,7326.80211891816,2020-Q4,Bunkyo Ward,35.71916561962691,139.75206971168518,AvgArea,56.604651162790695,-437.97573554599876
0,LinearRegression,WardTokyo,val,1076923.076923077,1069596.2748041588,7326.80211891816,2020-Q4,Bunkyo Ward,35.71916561962691,139.75206971168518,ActiveMeshes,13.0,-411.59448674339365
0,LinearRegression,WardTokyo,val,1076923.076923077,1069596.2748041588,7326.80211891816,2020-Q4,Bunkyo Ward,35.71916561962691,139.75206971168518,TimeTrend,61.0,1640.6505769092
0,LinearRegression,WardTokyo,val,1076923.076923077,1069596.2748041588,7326.80211891816,2020-Q4,Bunkyo Ward,35.71916561962691,139.75206971168518,Ward_encoded,3.0,-207.35280052661983
0,LinearRegression,WardTokyo,val,1076923.076923077,1069596.2748041588,7326.80211891816,2020-Q4,Bunkyo Ward,35.71916561962691,139.75206971168518,Q_2,0.0,-16.894418312349444
0,LinearRegression,WardTokyo,val,1076923.076923077,1069596.2748041588,7326.80211891816,2020-Q4,Bunkyo Ward,35.71916561962691,139.75206971168518,Q_3,0.0,-337.4561796306298
0,LinearRegression,WardTokyo,val,1076923.076923077,1069596.2748041588,7326.80211891816,2020-Q4,Bunkyo Ward,35.71916561962691,139.75206971168518,Q_4,1.0,-137.48762360800902
1,LinearRegression,WardTokyo,val,507179.4871794872,517349.03148026986,-10169.544300782669,2020-Q3,Edogawa Ward,35.693317030075434,139.87257599830627,MedianPriceSqM_lag1,492307.6923076923,-112423.6552944756
1,LinearRegression,WardTokyo,val,507179.4871794872,517349.03148026986,-10169.544300782669,2020-Q3,Edogawa Ward,35.693317030075434,139.87257599830627,MedianPriceSqM_lag4,444505.4945054945,-31336.22221159057
1,LinearRegression,WardTokyo,val,507179.4871794872,517349.03148026986,-10169.544300782669,2020-Q3,Edogawa Ward,35.693317030075434,139.87257599830627,MedianPriceSqM_growth_qoq,3.0208333333333393,10363.270812527166
1,LinearRegression,WardTokyo,val,507179.4871794872,517349.03148026986,-10169.544300782669,2020-Q3,Edogawa Ward,35.693317030075434,139.87257599830627,MedianPriceSqM_growth_yoy,14.099711578079944,14682.19720602287
1,LinearRegression,WardTokyo,val,507179.4871794872,517349.03148026986,-10169.544300782669,2020-Q3,Edogawa Ward,35.693317030075434,139.87257599830627,MedianPriceSqM_ma4q,493659.5022624434,-42688.88036415582
1,LinearRegression,WardTokyo,val,507179.4871794872,517349.03148026986,-10169.544300782669,2020-Q3,Edogawa Ward,35.693317030075434,139.87257599830627,MedianPriceSqM_std4q,10057.145460499049,1176.5809519998875
1,LinearRegression,WardTokyo,val,507179.4871794872,517349.03148026986,-10169.544300782669,2020-Q3,Edogawa Ward,35.693317030075434,139.87257599830627,TransactionCount,284.0,-536.8762353244274
1,LinearRegression,WardTokyo,val,507179.4871794872,517349.03148026986,-10169.544300782669,2020-Q3,Edogawa Ward,35.693317030075434,139.87257599830627,AvgBuildingAge,15.325991189427313,-97.07016081748588
1,LinearRegression,WardTokyo,val,507179.4871794872,517349.03148026986,-10169.544300782669,2020-Q3,Edogawa Ward,35.693317030075434,139.87257599830627,AvgArea,98.89084507042253,-56.532404915586085
1,LinearRegression,WardTokyo,val,507179.4871794872,517349.03148026986,-10169.544300782669,2020-Q3,Edogawa Ward,35.693317030075434,139.87257599830627,ActiveMeshes,11.0,-757.4722066958402
1,LinearRegression,WardTokyo,val,507179.4871794872,517349.03148026986,-10169.544300782669,2020-Q3,Edogawa Ward,35.693317030075434,139.87257599830627,TimeTrend,60.0,1587.2613619104595
