ObservationIndex,Model,Level,Split,Actual,Predicted,Residual,PeriodKey,Ward,Mesh250m,WardLat,WardLon,MeshLat,MeshLon,Feature,FeatureValue,SHAPValue
0,LightGBM,MeshSendai,val,114425.07264425071,114927.39578453141,-502.3231402806996,2021-Q3,"Wakabayashi Ward, Sendai City",57403770,38.24957240498102,140.8877170085907,38.31294728158548,140.88409066200256,mesh_median_ppsqm_lag1,120833.33333333331,-3176.462626483776
0,LightGBM,MeshSendai,val,114425.07264425071,114927.39578453141,-502.3231402806996,2021-Q3,"Wakabayashi Ward, Sendai City",57403770,38.24957240498102,140.8877170085907,38.31294728158548,140.88409066200256,mesh_median_ppsqm_lag4,141176.4705882353,5995.54955804095
0,LightGBM,MeshSendai,val,114425.07264425071,114927.39578453141,-502.3231402806996,2021-Q3,"Wakabayashi Ward, Sendai City",57403770,38.24957240498102,140.8877170085907,38.31294728158548,140.88409066200256,mesh_median_ppsqm_growth_qoq,-5.303388156482147,-5222.4846452372685
0,LightGBM,MeshSendai,val,114425.07264425071,114927.39578453141,-502.3231402806996,2021-Q3,"Wakabayashi Ward, Sendai City",57403770,38.24957240498102,140.8877170085907,38.31294728158548,140.88409066200256,mesh_median_ppsqm_growth_yoy,-18.94890687698908,-6705.717423118647
0,LightGBM,MeshSendai,val,114425.07264425071,114927.39578453141,-502.3231402806996,2021-Q3,"Wakabayashi Ward, Sendai City",57403770,38.24957240498102,140.8877170085907,38.31294728158548,140.88409066200256,mesh_median_ppsqm_ma4q,109439.3494172806,-20400.043363713503
0,LightGBM,MeshSendai,val,114425.07264425071,114927.39578453141,-502.3231402806996,2021-Q3,"Wakabayashi Ward, Sendai City",57403770,38.24957240498102,140.8877170085907,38.31294728158548,140.88409066200256,mesh_median_ppsqm_std4q,19355.07276439056,-371.4726279817929
0,LightGBM,MeshSendai,val,114425.07264425071,114927.39578453141,-502.3231402806996,2021-Q3,"Wakabayashi Ward, Sendai City",57403770,38.24957240498102,140.8877170085907,38.31294728158548,140.88409066200256,mesh_transaction_count,36.0,-50.7008974592522
0,LightGBM,MeshSendai,val,114425.07264425071,114927.39578453141,-502.3231402806996,2021-Q3,"Wakabayashi Ward, Sendai City",57403770,38.24957240498102,140.8877170085907,38.31294728158548,140.88409066200256,mesh_avg_age,21.0,-289.3933400357234
0,LightGBM,MeshSendai,val,114425.07264425071,114927.39578453141,-502.3231402806996,2021-Q3,"Wakabayashi Ward, Sendai City",57403770,38.24957240498102,140.8877170085907,38.31294728158548,140.88409066200256,mesh_avg_area,216.52777777777777,35.54495195733076
0,LightGBM,MeshSendai,val,114425.07264425071,114927.39578453141,-502.3231402806996,2021-Q3,"Wakabayashi Ward, Sendai City",57403770,38.24957240498102,140.8877170085907,38.31294728158548,140.88409066200256,TimeTrend,62.0,35.419112507725934
0,LightGBM,MeshSendai,val,114425.07264425071,114927.39578453141,-502.3231402806996,2021-Q3,"Wakabayashi Ward, Sendai City",57403770,38.24957240498102,140.8877170085907,38.31294728158548,140.88409066200256,Ward_encoded,27.0,-3.1189552599009267
0,LightGBM,MeshSendai,val,114425.07264425071,114927.39578453141,-502.3231402806996,2021-Q3,"Wakabayashi Ward, Sendai City",57403770,38.24957240498102,140.8877170085907,38.31294728158548,140.88409066200256,WardHedonicIndex,202.01307221059704,5.768716391300549
0,LightGBM,MeshSendai,val,114425.07264425071,114927.39578453141,-502.3231402806996,2021-Q3,"Wakabayashi Ward, Sendai City",57403770,38.24957240498102,140.8877170085907,38.31294728158548,140.88409066200256,WardHedonicIndex_missing,1.0,0.0
0,LightGBM,MeshSendai,val,114425.07264425071,114927.39578453141,-502.3231402806996,2021-Q3,"Wakabayashi Ward, Sendai City",57403770,38.24957240498102,140.8877170085907,38.31294728158548,140.88409066200256,MeshHedonicIndex,146.75106110661704,-98.60846918096956
0,LightGBM,MeshSendai,val,114425.07264425071,114927.39578453141,-502.3231402806996,2021-Q3,"Wakabayashi Ward, Sendai City",57403770,38.24957240498102,140.8877170085907,38.31294728158548,140.88409066200256,MeshHedonicIndex_missing,1.0,0.0
1,LightGBM,MeshSendai,val,112820.51282051284,112189.44970459268,631.0631159201585,2020-Q1,"Aoba Ward, Sendai City",57403626,38.27341290226016,140.86901664733887,38.27491214904654,140.8335793018341,mesh_median_ppsqm_lag1,114945.65217391304,-3080.003114339903
1,LightGBM,MeshSendai,val,112820.51282051284,112189.44970459268,631.0631159201585,2020-Q1,"Aoba Ward, Sendai City",57403626,38.27341290226016,140.86901664733887,38.27491214904654,140.8335793018341,mesh_median_ppsqm_lag4,90909.09090909093,-3159.2716151317127
1,LightGBM,MeshSendai,val,112820.51282051284,112189.44970459268,631.0631159201585,2020-Q1,"Aoba Ward, Sendai City",57403626,38.27341290226016,140.86901664733887,38.27491214904654,140.8335793018341,mesh_median_ppsqm_growth_qoq,-1.8488209977571501,-2439.9707887762825
1,LightGBM,MeshSendai,val,112820.51282051284,112189.44970459268,631.0631159201585,2020-Q1,"Aoba Ward, Sendai City",57403626,38.27341290226016,140.86901664733887,38.27491214904654,140.8335793018341,mesh_median_ppsqm_growth_yoy,24.102564102564106,5108.508792213114
1,LightGBM,MeshSendai,val,112820.51282051284,112189.44970459268,631.0631159201585,2020-Q1,"Aoba Ward, Sendai City",57403626,38.27341290226016,140.86901664733887,38.27491214904654,140.8335793018341,mesh_median_ppsqm_ma4q,99441.54124860646,-28351.83773414005
