Feature,MeanAbsSHAP,MedianAbsSHAP,StdAbsSHAP,ContributionShare
mesh_median_ppsqm,0.11546913323152239,0.11493104890541872,0.0709967999527637,0.47082501642627095
mesh_median_ppsqm_lag1,0.059099752177837674,0.05970978218829259,0.03372790566738963,0.24097904791687422
mesh_median_ppsqm_ma4q,0.048101926622052815,0.05052783768041991,0.019608424254859893,0.19613544986566714
mesh_median_ppsqm_growth_qoq,0.016275992354246684,0.010824115566265391,0.03409326257019516,0.06636530606129173
mesh_avg_age,0.005149651250436449,0.00329796721666753,0.007179176587655178,0.020997686279630015
mesh_avg_area,0.0006813600072203427,0.00026210527038017517,0.0020182141668005937,0.0027782432206232676
mesh_transaction_count,0.00047069325702651097,0.00033987091751441767,0.0003900476985396597,0.0019192502296426926
