ObservationIndex,Model,Level,Split,Actual,Predicted,Residual,PeriodKey,Ward,WardLat,WardLon,Feature,FeatureValue,SHAPValue
0,TorchLSTM,WardTokyo,val,434313.71875,399484.8430156708,34828.87573432922,2020-Q1,Adachi Ward,35.776974410659406,139.7979998588562,MedianPriceSqM,-1.2935307025909424,-0.01480169031310652
0,TorchLSTM,WardTokyo,val,434313.71875,399484.8430156708,34828.87573432922,2020-Q1,Adachi Ward,35.776974410659406,139.7979998588562,MedianPriceSqM_lag1,-1.3122636079788208,-0.005546339772990905
0,TorchLSTM,WardTokyo,val,434313.71875,399484.8430156708,34828.87573432922,2020-Q1,Adachi Ward,35.776974410659406,139.7979998588562,MedianPriceSqM_ma4q,-1.3285448551177979,-0.013145040778908879
0,TorchLSTM,WardTokyo,val,434313.71875,399484.8430156708,34828.87573432922,2020-Q1,Adachi Ward,35.776974410659406,139.7979998588562,MedianPriceSqM_growth_qoq,0.11817963421344757,0.008016632629733067
0,TorchLSTM,WardTokyo,val,434313.71875,399484.8430156708,34828.87573432922,2020-Q1,Adachi Ward,35.776974410659406,139.7979998588562,TransactionCount,0.973068356513977,-0.0049956413567997515
0,TorchLSTM,WardTokyo,val,434313.71875,399484.8430156708,34828.87573432922,2020-Q1,Adachi Ward,35.776974410659406,139.7979998588562,AvgBuildingAge,0.48423486948013306,0.003294308262411505
0,TorchLSTM,WardTokyo,val,434313.71875,399484.8430156708,34828.87573432922,2020-Q1,Adachi Ward,35.776974410659406,139.7979998588562,ActiveMeshes,1.5877351760864258,-0.00783345807576552
1,TorchLSTM,WardTokyo,val,435294.125,413261.68179512024,22032.44320487976,2020-Q2,Adachi Ward,35.776974410659406,139.7979998588562,MedianPriceSqM,-1.262321949005127,-0.010162785831198562
1,TorchLSTM,WardTokyo,val,435294.125,413261.68179512024,22032.44320487976,2020-Q2,Adachi Ward,35.776974410659406,139.7979998588562,MedianPriceSqM_lag1,-1.2853147983551025,-0.004988581669749692
1,TorchLSTM,WardTokyo,val,435294.125,413261.68179512024,22032.44320487976,2020-Q2,Adachi Ward,35.776974410659406,139.7979998588562,MedianPriceSqM_ma4q,-1.3038057088851929,-0.010944879584712908
1,TorchLSTM,WardTokyo,val,435294.125,413261.68179512024,22032.44320487976,2020-Q2,Adachi Ward,35.776974410659406,139.7979998588562,MedianPriceSqM_growth_qoq,0.14386630058288574,0.015596043900586665
