Feature,MeanAbsSHAP,MedianAbsSHAP,StdAbsSHAP,ContributionShare
mesh_median_ppsqm,0.0505488947201723,0.03079670958504721,0.04707713604651514,0.5911489867851359
mesh_median_ppsqm_lag1,0.017499725389777156,0.012430576633050805,0.014733276288970233,0.2046522478968581
mesh_median_ppsqm_ma4q,0.014647013372362494,0.010177062402362935,0.012142814984537613,0.17129092856396508
mesh_avg_age,0.0010247775882362476,0.0009523896210339444,0.0007114911476683739,0.011984361603147394
mesh_avg_area,0.0008644301819316525,0.0003832932935665667,0.0016454864561989222,0.010109163197814927
mesh_median_ppsqm_growth_qoq,0.0005390993578117786,0.00030030346624698723,0.0008683132498642583,0.006304550097705165
mesh_transaction_count,0.0003856277898403704,0.0003061861539208621,0.000350583025081534,0.0045097618553735465
