ObservationIndex,Model,Level,Split,Actual,Predicted,Residual,PeriodKey,Ward,Mesh250m,WardLat,WardLon,MeshLat,MeshLon,Feature,FeatureValue,SHAPValue
0,LinearRegression,MeshTokyo,val,1080000.0,1162760.1617353298,-82760.16173532978,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,mesh_median_ppsqm_lag1,914285.7142857144,1869.1124218469013
0,LinearRegression,MeshTokyo,val,1080000.0,1162760.1617353298,-82760.16173532978,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,mesh_median_ppsqm_lag4,1141958.041958042,53495.19144018476
0,LinearRegression,MeshTokyo,val,1080000.0,1162760.1617353298,-82760.16173532978,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,mesh_median_ppsqm_growth_qoq,18.124999999999993,96855.32883009253
0,LinearRegression,MeshTokyo,val,1080000.0,1162760.1617353298,-82760.16173532978,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,mesh_median_ppsqm_growth_yoy,-5.425597060624621,-18167.214059288675
0,LinearRegression,MeshTokyo,val,1080000.0,1162760.1617353298,-82760.16173532978,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,mesh_median_ppsqm_ma4q,1047802.1978021979,339422.4458821433
0,LinearRegression,MeshTokyo,val,1080000.0,1162760.1617353298,-82760.16173532978,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,mesh_median_ppsqm_std4q,94788.65493069764,3988.752026098082
0,LinearRegression,MeshTokyo,val,1080000.0,1162760.1617353298,-82760.16173532978,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,mesh_transaction_count,28.0,4282.156035735094
0,LinearRegression,MeshTokyo,val,1080000.0,1162760.1617353298,-82760.16173532978,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,mesh_avg_age,21.96,16185.275219000592
0,LinearRegression,MeshTokyo,val,1080000.0,1162760.1617353298,-82760.16173532978,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,mesh_avg_area,60.0,-440.3797693484739
0,LinearRegression,MeshTokyo,val,1080000.0,1162760.1617353298,-82760.16173532978,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,TimeTrend,61.0,-7445.1099487296815
0,LinearRegression,MeshTokyo,val,1080000.0,1162760.1617353298,-82760.16173532978,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,Ward_encoded,12.0,108.1036497697678
0,LinearRegression,MeshTokyo,val,1080000.0,1162760.1617353298,-82760.16173532978,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,WardHedonicIndex,184.89601631092367,-6669.957111596861
0,LinearRegression,MeshTokyo,val,1080000.0,1162760.1617353298,-82760.16173532978,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,WardHedonicIndex_missing,1.0,-3.637978807091713e-12
0,LinearRegression,MeshTokyo,val,1080000.0,1162760.1617353298,-82760.16173532978,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,MeshHedonicIndex,207.647646969142,3979.5090494807155
0,LinearRegression,MeshTokyo,val,1080000.0,1162760.1617353298,-82760.16173532978,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,MeshHedonicIndex_missing,1.0,0.0
1,LinearRegression,MeshTokyo,val,840000.0,934387.6415225783,-94387.64152257831,2020-Q3,Ota Ward,53393525,35.57257078830743,139.7084891796112,35.60227067317686,139.69781398773193,mesh_median_ppsqm_lag1,691666.6666666667,45.28396134858485
1,LinearRegression,MeshTokyo,val,840000.0,934387.6415225783,-94387.64152257831,2020-Q3,Ota Ward,53393525,35.57257078830743,139.7084891796112,35.60227067317686,139.69781398773193,mesh_median_ppsqm_lag4,750000.0,9883.220850520447
1,LinearRegression,MeshTokyo,val,840000.0,934387.6415225783,-94387.64152257831,2020-Q3,Ota Ward,53393525,35.57257078830743,139.7084891796112,35.60227067317686,139.69781398773193,mesh_median_ppsqm_growth_qoq,21.445783132530117,116908.77085190889
1,LinearRegression,MeshTokyo,val,840000.0,934387.6415225783,-94387.64152257831,2020-Q3,Ota Ward,53393525,35.57257078830743,139.7084891796112,35.60227067317686,139.69781398773193,mesh_median_ppsqm_growth_yoy,12.00000000000001,14888.92128927552
1,LinearRegression,MeshTokyo,val,840000.0,934387.6415225783,-94387.64152257831,2020-Q3,Ota Ward,53393525,35.57257078830743,139.7084891796112,35.60227067317686,139.69781398773193,mesh_median_ppsqm_ma4q,787083.3333333334,91771.33395192411
1,LinearRegression,MeshTokyo,val,840000.0,934387.6415225783,-94387.64152257831,2020-Q3,Ota Ward,53393525,35.57257078830743,139.7084891796112,35.60227067317686,139.69781398773193,mesh_median_ppsqm_std4q,73665.59828285075,11147.789152262227
1,LinearRegression,MeshTokyo,val,840000.0,934387.6415225783,-94387.64152257831,2020-Q3,Ota Ward,53393525,35.57257078830743,139.7084891796112,35.60227067317686,139.69781398773193,mesh_transaction_count,45.0,11060.242870698537
