ObservationIndex,Model,Level,Split,Actual,Predicted,Residual,PeriodKey,Ward,Mesh250m,WardLat,WardLon,MeshLat,MeshLon,Feature,FeatureValue,SHAPValue
0,LightGBM,MeshTokyo,val,1080000.0,1099149.2607226938,-19149.260722693754,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,mesh_median_ppsqm_lag1,914285.7142857144,52975.72879234143
0,LightGBM,MeshTokyo,val,1080000.0,1099149.2607226938,-19149.260722693754,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,mesh_median_ppsqm_lag4,1141958.041958042,60243.389677079394
0,LightGBM,MeshTokyo,val,1080000.0,1099149.2607226938,-19149.260722693754,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,mesh_median_ppsqm_growth_qoq,18.124999999999993,76039.89796501653
0,LightGBM,MeshTokyo,val,1080000.0,1099149.2607226938,-19149.260722693754,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,mesh_median_ppsqm_growth_yoy,-5.425597060624621,-30334.377223375213
0,LightGBM,MeshTokyo,val,1080000.0,1099149.2607226938,-19149.260722693754,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,mesh_median_ppsqm_ma4q,1047802.1978021979,239943.13501483563
0,LightGBM,MeshTokyo,val,1080000.0,1099149.2607226938,-19149.260722693754,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,mesh_median_ppsqm_std4q,94788.65493069764,-4318.11601708799
0,LightGBM,MeshTokyo,val,1080000.0,1099149.2607226938,-19149.260722693754,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,mesh_transaction_count,28.0,-1361.0471506649121
0,LightGBM,MeshTokyo,val,1080000.0,1099149.2607226938,-19149.260722693754,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,mesh_avg_age,21.96,-2427.638209555128
0,LightGBM,MeshTokyo,val,1080000.0,1099149.2607226938,-19149.260722693754,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,mesh_avg_area,60.0,-875.8968993230238
0,LightGBM,MeshTokyo,val,1080000.0,1099149.2607226938,-19149.260722693754,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,TimeTrend,61.0,1064.411190997451
0,LightGBM,MeshTokyo,val,1080000.0,1099149.2607226938,-19149.260722693754,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,Ward_encoded,12.0,-628.6368792677805
0,LightGBM,MeshTokyo,val,1080000.0,1099149.2607226938,-19149.260722693754,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,WardHedonicIndex,184.89601631092367,180.11494990857327
0,LightGBM,MeshTokyo,val,1080000.0,1099149.2607226938,-19149.260722693754,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,WardHedonicIndex_missing,1.0,0.0
0,LightGBM,MeshTokyo,val,1080000.0,1099149.2607226938,-19149.260722693754,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,MeshHedonicIndex,207.647646969142,2449.6497570446527
0,LightGBM,MeshTokyo,val,1080000.0,1099149.2607226938,-19149.260722693754,2020-Q4,Meguro Ward,53393584,35.62894231402541,139.690979719162,35.65072307697666,139.68462824821472,MeshHedonicIndex_missing,1.0,0.0
1,LightGBM,MeshTokyo,val,840000.0,833821.5927653904,6178.407234609593,2020-Q3,Ota Ward,53393525,35.57257078830743,139.7084891796112,35.60227067317686,139.69781398773193,mesh_median_ppsqm_lag1,691666.6666666667,-1674.2318008557968
