ObservationIndex,Model,Level,Split,Actual,Predicted,Residual,PeriodKey,Ward,WardLat,WardLon,Feature,FeatureValue,SHAPValue
0,RandomForest,WardTokyo,val,1076923.076923077,1059656.5775183428,17266.499404734233,2020-Q4,Bunkyo Ward,35.71916561962691,139.75206971168518,MedianPriceSqM_lag1,1058823.5294117648,1455.8448057324656
0,RandomForest,WardTokyo,val,1076923.076923077,1059656.5775183428,17266.499404734233,2020-Q4,Bunkyo Ward,35.71916561962691,139.75206971168518,MedianPriceSqM_lag4,1050000.0,1163.1013444134012
0,RandomForest,WardTokyo,val,1076923.076923077,1059656.5775183428,17266.499404734233,2020-Q4,Bunkyo Ward,35.71916561962691,139.75206971168518,MedianPriceSqM_growth_qoq,1.7094017094017033,3177.468829118345
0,RandomForest,WardTokyo,val,1076923.076923077,1059656.5775183428,17266.499404734233,2020-Q4,Bunkyo Ward,35.71916561962691,139.75206971168518,MedianPriceSqM_growth_yoy,2.564102564102577,233.68530831209208
0,RandomForest,WardTokyo,val,1076923.076923077,1059656.5775183428,17266.499404734233,2020-Q4,Bunkyo Ward,35.71916561962691,139.75206971168518,MedianPriceSqM_ma4q,1044371.434192406,377023.4370252852
0,RandomForest,WardTokyo,val,1076923.076923077,1059656.5775183428,17266.499404734233,2020-Q4,Bunkyo Ward,35.71916561962691,139.75206971168518,MedianPriceSqM_std4q,32884.77710662934,244.31691847874384
0,RandomForest,WardTokyo,val,1076923.076923077,1059656.5775183428,17266.499404734233,2020-Q4,Bunkyo Ward,35.71916561962691,139.75206971168518,TransactionCount,215.0,81.88699640944466
0,RandomForest,WardTokyo,val,1076923.076923077,1059656.5775183428,17266.499404734233,2020-Q4,Bunkyo Ward,35.71916561962691,139.75206971168518,AvgBuildingAge,21.402116402116402,132.41493300927104
0,RandomForest,WardTokyo,val,1076923.076923077,1059656.5775183428,17266.499404734233,2020-Q4,Bunkyo Ward,35.71916561962691,139.75206971168518,AvgArea,56.604651162790695,-983.7368539404818
0,RandomForest,WardTokyo,val,1076923.076923077,1059656.5775183428,17266.499404734233,2020-Q4,Bunkyo Ward,35.71916561962691,139.75206971168518,ActiveMeshes,13.0,145.50205298465974
0,RandomForest,WardTokyo,val,1076923.076923077,1059656.5775183428,17266.499404734233,2020-Q4,Bunkyo Ward,35.71916561962691,139.75206971168518,TimeTrend,61.0,-515.5542658842305
0,RandomForest,WardTokyo,val,1076923.076923077,1059656.5775183428,17266.499404734233,2020-Q4,Bunkyo Ward,35.71916561962691,139.75206971168518,Ward_encoded,3.0,-9.352058491495862
0,RandomForest,WardTokyo,val,1076923.076923077,1059656.5775183428,17266.499404734233,2020-Q4,Bunkyo Ward,35.71916561962691,139.75206971168518,Q_2,0.0,64.09310704333737
0,RandomForest,WardTokyo,val,1076923.076923077,1059656.5775183428,17266.499404734233,2020-Q4,Bunkyo Ward,35.71916561962691,139.75206971168518,Q_3,0.0,27.599191813470746
0,RandomForest,WardTokyo,val,1076923.076923077,1059656.5775183428,17266.499404734233,2020-Q4,Bunkyo Ward,35.71916561962691,139.75206971168518,Q_4,1.0,-33.113037351112304
1,RandomForest,WardTokyo,val,507179.4871794872,497904.76448615215,9274.722693335032,2020-Q3,Edogawa Ward,35.693317030075434,139.87257599830627,MedianPriceSqM_lag1,492307.6923076923,-3621.6007673477575
1,RandomForest,WardTokyo,val,507179.4871794872,497904.76448615215,9274.722693335032,2020-Q3,Edogawa Ward,35.693317030075434,139.87257599830627,MedianPriceSqM_lag4,444505.4945054945,-2017.9515997635501
1,RandomForest,WardTokyo,val,507179.4871794872,497904.76448615215,9274.722693335032,2020-Q3,Edogawa Ward,35.693317030075434,139.87257599830627,MedianPriceSqM_growth_qoq,3.0208333333333393,4130.842051258365
1,RandomForest,WardTokyo,val,507179.4871794872,497904.76448615215,9274.722693335032,2020-Q3,Edogawa Ward,35.693317030075434,139.87257599830627,MedianPriceSqM_growth_yoy,14.099711578079944,8523.727827826713
1,RandomForest,WardTokyo,val,507179.4871794872,497904.76448615215,9274.722693335032,2020-Q3,Edogawa Ward,35.693317030075434,139.87257599830627,MedianPriceSqM_ma4q,493659.5022624434,-185232.8900435771
1,RandomForest,WardTokyo,val,507179.4871794872,497904.76448615215,9274.722693335032,2020-Q3,Edogawa Ward,35.693317030075434,139.87257599830627,MedianPriceSqM_std4q,10057.145460499049,-1604.0997248755361
1,RandomForest,WardTokyo,val,507179.4871794872,497904.76448615215,9274.722693335032,2020-Q3,Edogawa Ward,35.693317030075434,139.87257599830627,TransactionCount,284.0,49.84337527207521
1,RandomForest,WardTokyo,val,507179.4871794872,497904.76448615215,9274.722693335032,2020-Q3,Edogawa Ward,35.693317030075434,139.87257599830627,AvgBuildingAge,15.325991189427313,-279.4234688556333
1,RandomForest,WardTokyo,val,507179.4871794872,497904.76448615215,9274.722693335032,2020-Q3,Edogawa Ward,35.693317030075434,139.87257599830627,AvgArea,98.89084507042253,84.28392637661514
1,RandomForest,WardTokyo,val,507179.4871794872,497904.76448615215,9274.722693335032,2020-Q3,Edogawa Ward,35.693317030075434,139.87257599830627,ActiveMeshes,11.0,29.3917402016458
1,RandomForest,WardTokyo,val,507179.4871794872,497904.76448615215,9274.722693335032,2020-Q3,Edogawa Ward,35.693317030075434,139.87257599830627,TimeTrend,60.0,418.6210562709092
1,RandomForest,WardTokyo,val,507179.4871794872,497904.76448615215,9274.722693335032,2020-Q3,Edogawa Ward,35.693317030075434,139.87257599830627,Ward_encoded,6.0,-13.726527844495179
