Feature,MeanAbsSHAP,MedianAbsSHAP,StdAbsSHAP,ContributionShare
MedianPriceSqM_ma4q,43497.97585090705,55075.736488273804,21457.59883229959,0.7818867729264175
MedianPriceSqM_growth_qoq,6292.397851087895,6096.124723177531,4083.432074353479,0.11310739301110823
MedianPriceSqM_growth_yoy,2103.130169478148,2128.407828958736,1179.8854237188502,0.03780428006337146
MedianPriceSqM_lag1,1143.9533852146074,1228.9783224972762,560.2418584920573,0.0205628423678719
MedianPriceSqM_lag4,608.9548506758166,627.9148278623204,335.96633131243254,0.010946112634868135
MedianPriceSqM_std4q,487.0028213385752,329.41587973418746,431.2987860353882,0.008753995029277642
TimeTrend,351.45655705886264,329.1773100129077,127.78407825171823,0.006317517720007956
TransactionCount,240.77845818830392,212.88346181003072,172.42336037418374,0.004328051776669639
AvgBuildingAge,207.9864529805453,177.16718216218987,145.75390859113634,0.0037386074490171825
AvgArea,205.80790858215943,205.7120812785449,129.81133180259226,0.003699447579712705
Q_2,184.4080038718684,170.655965789756,116.57769693487232,0.003314779049567448
ActiveMeshes,128.74786818516787,93.04544799653326,105.30560391776461,0.002314274473862846
Q_4,79.88734455707281,63.83655509299399,68.47609058623765,0.0014359945908169872
Ward_encoded,50.91615988845854,38.03129233155442,40.40755658730448,0.0009152304484568834
Q_3,48.661416240559944,38.56606674085193,30.904946477480227,0.0008747008789735944
