Feature,MeanAbsSHAP,MedianAbsSHAP,StdAbsSHAP,ContributionShare
MedianPriceSqM_ma4q,0.04047925211217347,0.045564052830741275,0.01944293516030562,0.5337093802985378
MedianPriceSqM,0.020602866005174292,0.023574513565108646,0.010231740263449652,0.2716439231022386
MedianPriceSqM_lag1,0.009138769015362414,0.010536042131207068,0.004085858249225967,0.12049251143189327
AvgBuildingAge,0.003687839894152489,0.0031958901781763416,0.0029893719084794716,0.04862329815516615
ActiveMeshes,0.0010947171226177942,0.001052940857334761,0.0006071279074072087,0.014433586754406326
TransactionCount,0.0007344991591679672,0.0005721027373510879,0.0007178289230384154,0.009684197968456104
MedianPriceSqM_growth_qoq,0.00010717691301760368,0.00011114456265204353,8.485607643373586e-05,0.0014131022893017625
