Model,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2,Level
LinearRegression,2.0372681319713593e-10,2.0579515874459977e-10,1.0,2.4181645130738616e-08,3.024414902752785e-08,1.0,3.2334355637431145e-08,3.3454799307762714e-08,1.0,Ward
RandomForest,2777.1875000000146,3359.9947425760943,0.9992344539328496,30868.697916666657,35903.281674883714,0.9224531258104832,44879.583333333314,56598.26400029615,0.8189064679830844,Ward
LightGBM,121187.5,121437.53216674819,0.0,127937.5,135367.4830553852,-0.10236321316152175,133000.0,151327.5756636906,-0.2945918455678671,Ward
LinearRegression,9.458744898438454e-10,9.531226762228655e-10,1.0,1.0204530553892255e-09,1.0815020208209424e-09,1.0,1.1059455573558807e-09,1.2354567458847959e-09,1.0,Mesh
RandomForest,2154.270833333332,2484.887062881888,0.9995827259208654,27866.822916666668,33490.37293392643,0.9328878603935165,39487.916666666686,50796.78827746453,0.855152481233549,Mesh
LightGBM,121187.5,121645.47296858195,0.0,127937.5,135698.06499633662,-0.10181435708651065,133000.0,151740.02489867332,-0.29252470844560463,Mesh
