Model,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2,Level
LinearRegression,15289.386683749837,21997.566437705867,0.9942414803721622,14414.898507127758,19777.22235528227,0.9970153113371405,18594.707646533232,29651.119045021995,0.9953575118734405,Ward
RandomForest,3940.526973523317,6097.334658297741,0.999557572982378,14886.734119648152,26010.622263434496,0.9948373827576298,44302.31595363826,112688.61215302696,0.9329453831538871,Ward
LightGBM,1117.026318426503,1858.7302501911315,0.9999588855666236,15949.871879973607,29862.142838662876,0.9931952781097776,48038.70338773811,116652.76617759658,0.9281447163597119,Ward
LinearRegression,77446.26749053336,279824.61422272125,0.7388970027828123,,,,,,,Mesh
RandomForest,3364.0264016111064,41377.348763262664,0.9942909302405464,,,,,,,Mesh
LightGBM,10116.333115698479,60679.047767223456,0.987722285130206,,,,,,,Mesh
TorchLSTM,29506.81594435246,40954.14063236467,0.9800545071086094,31232.11277334392,40494.0876743734,0.9874872814061356,43409.02942599569,61091.89530625715,0.9802923053950806,Ward
