Model,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2,Level
LinearRegression,15289.386683749837,21997.566437705867,0.9942414803721622,14414.898507127758,19777.22235528227,0.9970153113371405,18594.707646533232,29651.119045021995,0.9953575118734405,Ward
RandomForest,3954.8884219598845,6120.837076312648,0.9995541557040929,14843.319198499836,25932.415660034203,0.9948683811530378,44250.6323888698,112744.90159424,0.9328783770999696,Ward
LightGBM,1397.2776241988956,2264.219525240695,0.999938990335367,15642.597135220305,29937.976918068453,0.9931606734235285,47910.919274161744,116948.70401171154,0.9277796728027813,Ward
RandomForest,3264.95323980135,41124.79827407223,0.9943604092302311,12171.438441864371,96427.39809775703,0.9559582319912319,21317.331586869084,121977.07758872566,0.9524526964913131,Mesh
LightGBM,11014.744092015015,70626.69802776554,0.9833667224453562,17262.26521133195,73576.16836568627,0.974358809645009,26227.762925961935,133619.20483486616,0.9429432263551595,Mesh
LinearRegression,77392.76283442891,280028.0992775786,0.7385171228654765,69633.8627958105,168171.15260013996,0.8660425568044952,84181.75997481699,198542.49157001096,0.8740273168562549,Mesh
