Level,Model,Fraction,TrainRows,ValRows,TestRows,TrainTimeSeconds,InferTimeSeconds,Test_MAE,Test_RMSE,Test_R2
Mesh,LinearRegression,0.25,4,32,4,0.0012376999948173761,0.0007476999890059233,0.0005057054513599724,0.0005083375925761173,1.0
Mesh,RandomForest,0.25,4,32,4,0.279176699987147,0.028789299947675318,80220.0,108040.83600400566,0.34473884335666083
Mesh,LightGBM,0.25,4,32,4,0.01862540002912283,0.0021179000032134354,133000.0,156908.4127763709,-0.38207308858201405
Mesh,LinearRegression,0.5,8,32,4,0.0018105999915860593,0.0008732000133022666,3.384819137863815e-06,3.3855678635246525e-06,1.0
Mesh,RandomForest,0.5,8,32,4,0.2806482000160031,0.02950320002855733,55511.66666666667,73381.37882551222,0.6977193915833988
Mesh,LightGBM,0.5,8,32,4,0.010328699951060116,0.0017226000200025737,133000.0,155128.58829451777,-0.3508969858678568
Mesh,LinearRegression,0.75,12,32,4,0.0019188000005669892,0.001202200015541166,1.4551915228366852e-09,1.4845806575446447e-09,1.0
Mesh,RandomForest,0.75,12,32,4,0.2865969000267796,0.029173600021749735,46945.41666666666,61267.075346614816,0.7892862624044136
Mesh,LightGBM,0.75,12,32,4,0.010291599959600717,0.0016348999924957752,133000.0,153405.15188545658,-0.3210475258223868
Mesh,LinearRegression,1.0,16,32,4,0.0015270000440068543,0.000920899969059974,1.0622898116707802e-09,1.1275621729326968e-09,1.0
Mesh,RandomForest,1.0,16,32,4,0.2604620000347495,0.02904520003357902,40082.5,50850.9441352316,0.8548434647218791
Mesh,LightGBM,1.0,16,32,4,0.009932400018442422,0.0016202999977394938,133000.0,151740.02489867332,-0.29252470844560463
